date,deposit,deposited,equity,tqqq_value,bond_value,cash,transaction_cost,turnover,buy_count,sell_count,tqqq_units,deployed_principal,principal_wait_days,profit,roi
1999-04-01,100.0,100.0,99.95002498750625,99.95002498750625,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,0.7546745069723033,100.0,0.0,-0.04997501249374636,-0.0004997501249374637
1999-04-05,100.0,200.0,210.0426318803207,110.09260689281443,99.95002498750625,0.0,0.04997501249375313,99.95002498750625,1,0,0.7546745069723033,0.0,0.0,10.042631880320698,0.050213159401603494
1999-04-06,0.0,200.0,209.89938287182918,109.93750009583523,99.96188277599393,0.0,0.0,0.0,0,0,0.7546745069723033,0.0,0.0,9.899382871829175,0.049496914359145876
1999-04-07,0.0,200.0,205.9325166992565,105.95885689816546,99.97365980109102,0.0,0.0,0.0,0,0,0.7546745069723033,0.0,0.0,5.932516699256496,0.02966258349628248
1999-04-08,0.0,200.0,210.5192600177688,210.5192600177688,0.0,0.0,0.09993552523763786,199.87105047527575,1,1,1.4360318339765747,100.0,300.0,10.5192600177688,0.052596300088844
1999-04-09,0.0,200.0,212.64480984405722,212.64480984405722,0.0,0.0,0.0,0.0,0,0,1.4360318339765747,0.0,0.0,12.644809844057221,0.0632240492202861
1999-04-12,100.0,300.0,308.60963892334405,208.65961393583783,99.95002498750625,0.0,0.04997501249375313,99.95002498750625,1,0,1.4360318339765747,0.0,0.0,8.60963892334405,0.028698796411146834
1999-04-13,0.0,300.0,296.1358908107206,196.17403542154008,99.96185538918049,0.0,0.0,0.0,0,0,1.4360318339765747,0.0,0.0,-3.864109189279418,-0.012880363964264726
1999-04-14,0.0,300.0,276.62808270624373,276.62808270624373,0.0,0.0,0.09992345156521831,199.8469031304366,1,1,2.2474478682283117,100.0,200.0,-23.37191729375627,-0.07790639097918756
1999-04-15,0.0,300.0,289.2351139148496,289.2351139148496,0.0,0.0,0.0,0.0,0,0,2.2474478682283117,0.0,0.0,-10.764886085150408,-0.03588295361716803
1999-04-16,0.0,300.0,269.0975032256339,269.0975032256339,0.0,0.0,0.0,0.0,0,0,2.2474478682283117,0.0,0.0,-30.902496774366114,-0.10300832258122038
1999-04-19,100.0,400.0,322.80145100326666,322.80145100326666,0.0,0.0,0.04997501249375313,99.95002498750625,1,0,3.2554399399131073,100.0,0.0,-77.19854899673334,-0.19299637249183335
1999-04-20,0.0,400.0,353.5633980257381,353.5633980257381,0.0,0.0,0.0,0.0,0,0,3.2554399399131073,0.0,0.0,-46.43660197426192,-0.1160915049356548
1999-04-21,0.0,400.0,392.9327181135707,392.9327181135707,0.0,0.0,0.0,0.0,0,0,3.2554399399131073,0.0,0.0,-7.067281886429328,-0.01766820471607332
1999-04-22,0.0,400.0,436.27392372970354,436.27392372970354,0.0,0.0,0.0,0.0,0,0,3.2554399399131073,0.0,0.0,36.27392372970354,0.09068480932425885
1999-04-23,0.0,400.0,452.327642242587,452.327642242587,0.0,0.0,0.0,0.0,0,0,3.2554399399131073,0.0,0.0,52.32764224258699,0.13081910560646748
1999-04-26,100.0,500.0,582.6801337463189,482.73010875881266,99.95002498750625,0.0,0.04997501249375313,99.95002498750625,1,0,3.2554399399131073,0.0,0.0,82.68013374631892,0.16536026749263782
1999-04-27,0.0,500.0,548.1746760740118,448.21279329801786,99.96188277599394,0.0,0.0,0.0,0,0,3.2554399399131073,0.0,0.0,48.17467607401181,0.09634935214802362
1999-04-28,0.0,500.0,513.465620474702,513.465620474702,0.0,0.0,0.099923889586788,199.847779173576,1,1,4.041562046899558,100.0,200.0,13.46562047470195,0.0269312409494039
1999-04-29,0.0,500.0,491.01382593026733,491.01382593026733,0.0,0.0,0.0,0.0,0,0,4.041562046899558,0.0,0.0,-8.98617406973267,-0.017972348139465338
