years,window_start,strategy,actual_start,actual_end,contributed,final_value,profit,end_roi,worst_interim_roi,worst_date,deposited_at_worst,equity_at_worst,ending_tqqq_weight,mean_idle_weight,transaction_cost,turnover,trades,mean_calendar_wait_deployed_principal,deployed_principal
5,1999-04-01,weekly_qqq,1999-04-01,2004-04-01,26200.0,23418.73193560102,-2781.2680643989806,-0.10615526963354888,-0.5771282764321474,2002-10-07,18500.0,7823.126886005272,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-04-01,weekly_qld,1999-04-01,2004-04-01,26200.0,19659.933447383166,-6540.066552616834,-0.24962086078690207,-0.8358115930322165,2002-08-05,17600.0,2889.715962632989,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-04-01,weekly_tqqq,1999-04-01,2004-04-01,26200.0,18679.315874415264,-7520.684125584736,-0.2870490124268983,-0.937056337889381,2001-04-04,10600.0,667.2028183725616,1.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-04-01,weekly_half_half,1999-04-01,2004-04-01,26200.0,21049.023905008144,-5150.976094991856,-0.19660214103022353,-0.748243892974824,2002-08-05,17600.0,4430.9074836431,0.443709788128725,0.0,13.09345327336332,26186.90654672664,524,,0.0
5,1999-04-01,dip_cash,1999-04-01,2004-04-01,26200.0,18883.742971956824,-7316.2570280431755,-0.2792464514520296,-0.9337881645268102,2001-04-04,10600.0,701.8454560158117,0.9947044396786959,0.023039022233082844,13.043478260869566,26086.956521739135,190,4.57088122605364,26100.0
5,1999-04-01,dip_bond,1999-04-01,2004-04-01,26200.0,18872.222056073453,-7327.777943926547,-0.2796861810658987,-0.9338078011599387,2001-04-04,10600.0,701.63730770465,0.9947034820533913,0.023042229276299234,32.682597244776986,65365.194489553964,526,4.57088122605364,26100.0
5,1999-05-01,weekly_qqq,1999-05-03,2004-04-30,26100.0,22635.462632709885,-3464.537367290115,-0.13274089529847183,-0.5756849203251059,2002-10-07,18000.0,7637.671434148094,0.0,0.0,13.043478260869566,26086.956521739135,261,,0.0
5,1999-05-01,weekly_qld,1999-05-03,2004-04-30,26100.0,18463.887337288776,-7636.112662711224,-0.2925713663874032,-0.8327062646948445,2002-08-05,17100.0,2860.7228737181576,0.0,0.0,13.043478260869566,26086.956521739135,261,,0.0
5,1999-05-01,weekly_tqqq,1999-05-03,2004-04-30,26100.0,16821.56342892323,-9278.43657107677,-0.3554956540642441,-0.9359445615502432,2001-04-04,10100.0,646.9599283425437,1.0,0.0,13.043478260869566,26086.956521739135,261,,0.0
5,1999-05-01,weekly_half_half,1999-05-03,2004-04-30,26100.0,19728.513030816557,-6371.486969183443,-0.24411827468135797,-0.7467165542455579,2002-08-05,17100.0,4331.14692240096,0.4263261859281391,0.0,13.043478260869566,26086.956521739135,522,,0.0
5,1999-05-01,dip_cash,1999-05-03,2004-04-30,26100.0,17035.046091364973,-9064.953908635027,-0.3473162417101543,-0.9326802674396172,2001-04-04,10100.0,679.929298859866,1.0,0.020319679886071966,13.043478260869566,26086.956521739132,190,4.605363984674329,26100.0
5,1999-05-01,dip_bond,1999-05-03,2004-04-30,26100.0,17024.53739405785,-9075.46260594215,-0.34771887379088695,-0.9327006343485521,2001-04-04,10100.0,679.7235930796235,1.0,0.020324671119033116,32.732268523193376,65464.537046386744,527,4.605363984674329,26100.0
5,1999-06-01,weekly_qqq,1999-06-01,2004-06-01,26200.0,23968.69192854052,-2231.30807145948,-0.08516443020837709,-0.5745946224564,2002-10-07,17600.0,7487.134644767359,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-06-01,weekly_qld,1999-06-01,2004-06-01,26200.0,20689.081225727095,-5510.918774272905,-0.21034041123179026,-0.830889548760727,2001-09-21,12100.0,2046.2364599952027,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-06-01,weekly_tqqq,1999-06-01,2004-06-01,26200.0,19758.228769262347,-6441.771230737653,-0.24586913094418525,-0.9351185769828363,2001-04-04,9700.0,629.3498032664879,1.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-06-01,weekly_half_half,1999-06-01,2004-06-01,26200.0,21863.460348901433,-4336.5396510985665,-0.16551678057628116,-0.7455021642090391,2002-08-05,16700.0,4250.113857709046,0.4518550232661394,0.0,13.09345327336332,26186.90654672664,524,,0.0
5,1999-06-01,dip_cash,1999-06-01,2004-06-01,26200.0,19954.804065884775,-6245.195934115225,-0.23836625702729866,-0.9317692345363484,2001-04-04,9700.0,661.8384249974201,0.9799547017009378,0.021147868042953516,12.893553223388306,25787.106446776612,187,4.631782945736434,25800.0
5,1999-06-01,dip_bond,1999-06-01,2004-06-01,26200.0,19942.726174063424,-6257.273825936576,-0.23882724526475482,-0.9317894012849801,2001-04-04,9700.0,661.6428075356924,0.9799467167885607,0.021153175899329316,32.4824570249807,64964.914049961386,522,4.631782945736434,25800.0
5,1999-07-01,weekly_qqq,1999-07-01,2004-07-01,26200.0,24430.186782673263,-1769.8132173267368,-0.0675501227987304,-0.5735743979452803,2002-10-07,17200.0,7334.520355341179,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-07-01,weekly_qld,1999-07-01,2004-07-01,26200.0,21531.02421317127,-4668.975786828731,-0.17820518270338667,-0.829633773265473,2001-09-21,11700.0,1993.2848527939664,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-07-01,weekly_tqqq,1999-07-01,2004-07-01,26200.0,20791.352912463783,-5408.647087536217,-0.20643691173802356,-0.934380359360333,2001-04-04,9300.0,610.2626579489031,1.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-07-01,weekly_half_half,1999-07-01,2004-07-01,26200.0,22610.769847568525,-3589.2301524314753,-0.1369935172683769,-0.7443003779341553,2002-08-05,16300.0,4167.903839673268,0.45976658584890256,0.0,13.09345327336332,26186.90654672664,524,,0.0
5,1999-07-01,dip_cash,1999-07-01,2004-07-01,26200.0,20970.690068779913,-5229.309931220087,-0.1995919821076369,-0.9308400746484757,2001-04-04,9300.0,643.1873057691762,0.96185151764791,0.029219100557146403,12.693653173413294,25387.30634682659,183,4.673228346456693,25400.0
5,1999-07-01,dip_bond,1999-07-01,2004-07-01,26200.0,20958.59877596117,-5241.401224038829,-0.2000534818335431,-0.9308601117031405,2001-04-04,9300.0,643.000961160792,0.9618160467945628,0.029221390403468876,32.18265536404296,64365.31072808591,516,4.673228346456693,25400.0
5,1999-08-01,weekly_qqq,1999-08-02,2004-07-30,26100.0,23066.851890849826,-3033.1481091501737,-0.11621257123180742,-0.5710609004334868,2002-10-07,16700.0,7163.2829627607725,0.0,0.0,13.043478260869566,26086.956521739135,261,,0.0
5,1999-08-01,weekly_qld,1999-08-02,2004-07-30,26100.0,19265.866378772316,-6834.133621227684,-0.2618442000470377,-0.8275618980265411,2001-04-04,8800.0,1517.4552973664388,0.0,0.0,13.043478260869566,26086.956521739135,261,,0.0
5,1999-08-01,weekly_tqqq,1999-08-02,2004-07-30,26100.0,17426.00162837603,-8673.99837162397,-0.3323371023610716,-0.9326859681425278,2001-04-04,8800.0,592.3634803457555,1.0,0.0,13.043478260869566,26086.956521739135,261,,0.0
5,1999-08-01,weekly_half_half,1999-08-02,2004-07-30,26100.0,20246.42675961293,-5853.573240387072,-0.22427483679643953,-0.7420361319386485,2002-08-05,15800.0,4075.8291153693544,0.43034758269387535,0.0,13.043478260869566,26086.956521739135,522,,0.0
5,1999-08-01,dip_cash,1999-08-02,2004-07-30,26100.0,17585.971259035086,-8514.028740964914,-0.3262079977381193,-0.9289207630506283,2001-04-04,8800.0,625.4972851544705,1.0,0.027421846163560033,13.043478260869566,26086.956521739132,185,5.291187739463601,26100.0
5,1999-08-01,dip_bond,1999-08-02,2004-07-30,26100.0,17575.515270525866,-8524.484729474134,-0.32660861032467947,-0.9289422721716956,2001-04-04,8800.0,625.3080048890791,1.0,0.027426390023277212,32.73224522026609,65464.49044053217,517,5.291187739463601,26100.0
5,1999-09-01,weekly_qqq,1999-09-01,2004-09-01,26200.0,22974.514245836144,-3225.4857541638557,-0.12311014328869678,-0.5694210531925935,2002-08-05,15400.0,6630.91578083406,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-09-01,weekly_qld,1999-09-01,2004-09-01,26200.0,19024.789972478768,-7175.210027521232,-0.27386297814966537,-0.8287585654933544,2001-04-04,8400.0,1438.4280498558237,0.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-09-01,weekly_tqqq,1999-09-01,2004-09-01,26200.0,16885.66708404685,-9314.33291595315,-0.35550888992187596,-0.9313890619792482,2001-04-04,8400.0,576.3318793743148,1.0,0.0,13.09345327336332,26186.90654672664,262,,0.0
5,1999-09-01,weekly_half_half,1999-09-01,2004-09-01,26200.0,19930.090664941497,-6269.909335058503,-0.23930951660528635,-0.7402503576792564,2002-08-05,15400.0,4000.1444917394515,0.42362243523934356,0.0,13.09345327336332,26186.90654672664,524,,0.0
5,1999-09-01,dip_cash,1999-09-01,2004-09-01,26200.0,17032.981154851488,-9167.018845148512,-0.34988621546368365,-0.9272740832429288,2001-04-04,8400.0,610.8977007593974,1.0,0.025895614861504344,13.09345327336332,26186.906546726637,186,5.2251908396946565,26200.0
