years,strategy,windows,worst_end_roi,median_end_roi,best_end_roi,ending_loss_count,worst_interim_roi,wins_vs_weekly_tqqq,median_wealth_ratio_vs_weekly_tqqq,worst_window_start,worst_window_end,worst_final_value,worst_contributed,best_window_start,best_window_end,best_final_value,best_contributed,interim_worst_window_start,interim_worst_date,interim_worst_contributed,interim_worst_equity
5,weekly_qqq,270,-0.32924748291634093,0.47574972704903973,1.1315086506108452,21,-0.5771282764321474,66,0.6984861323485467,2003-12-01,2008-12-01,17573.715947591867,26200.0,2016-09-01,2021-09-01,55845.526646004146,26200.0,1999-04-01,2002-10-07,18500.0,7823.126886005272
5,weekly_qld,270,-0.6707708357560574,0.8967418981912476,2.804273117799144,32,-0.8358115930322165,76,0.8720420502313844,2003-12-01,2008-12-01,8625.804103191294,26200.0,2016-09-01,2021-09-01,99671.95568633758,26200.0,1999-04-01,2002-08-05,17600.0,2889.715962632989
5,weekly_tqqq,270,-0.8605719045802425,1.1921650181192387,4.822482277400627,42,-0.937056337889381,0,1.0,2003-12-01,2008-12-01,3653.0160999976456,26200.0,2016-09-01,2021-09-01,152549.03566789642,26200.0,1999-04-01,2001-04-04,10600.0,667.2028183725616
5,weekly_half_half,270,-0.5949096937482917,0.8383974254513031,2.976995464005736,35,-0.748243892974824,66,0.8492430661742734,2003-12-01,2008-12-01,10613.366023794757,26200.0,2016-09-01,2021-09-01,104197.28115695028,26200.0,1999-04-01,2002-08-05,17600.0,4430.9074836431
5,dip_cash,270,-0.8568447171840552,1.1537945258327418,4.628085640517052,43,-0.9337881645268102,109,0.9948985538124298,2003-12-01,2008-12-01,3750.668409777754,26200.0,2016-09-01,2021-09-01,147455.84378154678,26200.0,1999-04-01,2001-04-04,10600.0,701.8454560158117
5,dip_bond,270,-0.8567339982663088,1.1529255796630273,4.62686211863637,43,-0.9338078011599387,107,0.9943118551283888,2003-12-01,2008-12-01,3753.5692454227083,26200.0,2016-09-01,2021-09-01,147423.7875082729,26200.0,1999-04-01,2001-04-04,10600.0,701.63730770465
10,weekly_qqq,210,-0.21772572329535386,1.3041299144142693,2.5751940672859694,4,-0.5771282764321474,37,0.39953427672804603,1999-04-01,2009-04-01,40912.94467165299,52300.0,2011-09-01,2021-09-01,186982.6497190562,52300.0,1999-04-01,2002-10-07,18500.0,7823.126886005272
10,weekly_qld,210,-0.6059697624619578,3.0828093146389035,9.192621052751745,16,-0.8358115930322165,50,0.7109529277397812,1999-04-01,2009-04-01,20607.78142323961,52300.0,2011-09-01,2021-09-01,533074.0810589163,52300.0,1999-04-01,2002-08-05,17600.0,2889.715962632989
10,weekly_tqqq,210,-0.81871020553426,5.166661174364455,23.289915152454743,20,-0.937056337889381,0,1.0,1999-04-01,2009-04-01,9481.456250558203,52300.0,2011-09-01,2021-09-01,1270362.562473383,52300.0,1999-04-01,2001-04-04,10600.0,667.2028183725616
10,weekly_half_half,210,-0.5182179644148069,3.2457563282237842,12.932554609870357,16,-0.748243892974824,37,0.6997671383640229,1999-04-01,2009-04-01,25197.200461105596,52300.0,2011-09-01,2021-09-01,728672.6060962196,52300.0,1999-04-01,2002-08-05,17600.0,4430.9074836431
10,dip_cash,210,-0.8177362522036521,5.152868000372708,22.849530843503686,20,-0.9337881645268102,53,0.9959894925909332,1999-04-01,2009-04-01,9532.394009748998,52300.0,2011-09-01,2021-09-01,1247330.4631152428,52300.0,1999-04-01,2001-04-04,10600.0,701.8454560158117
10,dip_bond,210,-0.8177274116909833,5.149272805943095,22.829409565088927,20,-0.9338078011599387,47,0.9956599404492079,1999-04-01,2009-04-01,9532.856368561574,52300.0,2011-09-01,2021-09-01,1246278.1202541508,52300.0,1999-04-01,2001-04-04,10600.0,701.63730770465
