date,1,2,3
1999-03-04,100.0,100.0,100.0
1999-03-05,101.90526831217284,103.791769501058,105.6803254844637
1999-03-08,105.22375140116205,110.49316501888642,115.8920876732507
1999-03-09,104.93968811518704,109.87576049926385,114.91218832910677
1999-03-10,105.45486986313584,110.93414953950959,116.56421551877895
1999-03-11,105.72536030164524,111.48235905144897,117.41968875086026
1999-03-12,103.92456641234067,107.6637341719955,111.37808741627278
1999-03-15,106.58074625644956,113.1071453994406,119.80068404030415
1999-03-16,107.25108979849132,114.50805082981827,122.01727337337256
1999-03-17,106.79839149498108,113.51999636347638,120.42910732659115
1999-03-18,108.7774605844026,117.70616243553127,127.08181675485773
1999-03-19,106.23803753388702,112.18860099814094,118.1370644772708
1999-03-22,104.86239410832788,109.22050747235923,113.4231316033342
1999-03-23,101.45713587417976,102.10641637340765,102.33305924593061
1999-03-24,104.16603481215539,107.53975128098851,110.49366621547311
1999-03-25,107.77649945049745,114.97398597328892,121.94303035152842
1999-03-26,106.94518376070856,113.17820861352878,119.07686927870171
1999-03-29,110.94702291133433,121.58482587468748,132.31792088182138
1999-03-30,109.96518714534305,119.40992271597113,128.7578067850983
1999-03-31,108.96629294840858,117.21823578223767,125.20353197286656
1999-04-01,111.0217514986552,121.61789326959398,132.2431125652269
1999-04-05,114.8220954198941,129.85177653978903,145.6337002124919
1999-04-06,114.77957038835763,129.7313666772263,145.42054050452796
1999-04-07,113.40621272073777,126.60285820093904,140.1497961895552
1999-04-08,115.08502820262106,130.3279990431831,146.3254475573026
1999-04-09,115.4836948819111,131.20676575419682,147.79483388041103
1999-04-12,114.79596063248228,129.57177403757808,145.0007022856403
1999-04-13,112.51752520298129,124.4044450430814,136.31634084945753
1999-04-14,108.81575254898783,116.19588183563164,122.81479542425467
1999-04-15,110.47952925959738,119.72756547184467,128.40521977108935
1999-04-16,107.92651984147268,114.17176026808424,119.45814096992144
1999-04-19,101.77521907246006,101.0946692955895,98.90888057235597
1999-04-20,105.01797589105956,107.51839703067292,108.32916124068068
1999-04-21,108.92580380784977,115.50087445735852,120.38568844400288
1999-04-22,112.94116457557615,123.99537311404278,133.65785608087592
1999-04-23,114.33746062171765,127.03853163901596,138.5687855102393
1999-04-26,116.93286679845923,132.7353758832705,147.85968254026326
1999-04-27,114.15810887667173,126.40992368576336,137.27896622535286
1999-04-28,111.23029931283948,119.90203330598996,126.66766625850816
1999-04-29,109.62026483099618,116.40832068904825,121.12205597324876
1999-04-30,110.5040155376248,118.2630744278228,124.00778444441288
1999-05-03,110.58287626317018,118.3630509292831,124.13659698379382
1999-05-04,108.4929712597648,113.86627165691674,117.05295554935545
1999-05-05,111.50736329970212,120.17255294639011,126.76867650118294
1999-05-06,107.51747579319813,111.55077856888498,113.11721378599195
1999-05-07,109.53892224142332,115.72448930894355,119.45744935389824
1999-05-10,110.41781420545588,117.51761579246013,122.20827514111924
1999-05-11,112.54314473335356,122.0198913823694,129.2224755762214
1999-05-12,114.70568559394432,126.68663668320276,136.6265204527795
1999-05-13,112.70739208404639,122.24911039409857,129.4381125978513
1999-05-14,109.91843655051031,116.17610215019612,119.78345392629603
1999-05-17,112.53326743189189,121.63798476146769,128.20428575851824
1999-05-18,111.68199863667895,119.77417235426219,125.24788316191416
1999-05-19,113.07500063377478,122.74008948760951,129.8911690279786
1999-05-20,110.68327305027941,117.52580964950054,121.60510790401014
1999-05-21,109.35991137390859,114.69356832838768,117.20045723085393
1999-05-24,106.575068732794,108.78889207204617,108.12471073796097
1999-05-25,103.39177337114509,102.26984386833588,98.3980183497436
1999-05-26,106.18608220945423,107.77862497554229,106.34114391984242
1999-05-27,106.03347650584733,107.4485796355736,105.84487074227371
1999-05-28,108.0815867806886,111.57909651251316,111.94031325218204
1999-06-01,104.77402749353296,104.66847588302497,101.5091745454339
1999-06-02,107.29468991919656,109.68513608586208,108.79961984036608
1999-06-03,105.01124726157029,104.9969709812322,101.81669329426077
1999-06-04,109.0970365270484,113.14781997387597,113.66522227458317
1999-06-07,111.333605716513,117.72436561820865,120.53695523066877
1999-06-08,107.92354198306067,110.49088220915463,109.41878570841422
1999-06-09,110.44409138605131,115.63152854062582,117.04709624488116
1999-06-10,108.49421431142203,111.52715996778066,110.80672467941739
1999-06-11,106.65707468361411,107.72926669355765,105.1385792252663
1999-06-14,104.92943360574263,104.1791278235112,99.91857538559039
1999-06-15,106.4416996794348,107.16265265500917,104.2035987710052
1999-06-16,112.09485098943823,118.52580567029685,120.77022543069968
1999-06-17,113.30098096731362,121.05450692370145,124.62640095079485
1999-06-18,114.05676853262439,122.64703738501623,127.07666755349987
1999-06-21,117.32402844110746,129.6057662376265,137.86438734820007
1999-06-22,114.28385742748173,122.8648103868194,127.09865151118093
1999-06-23,115.8058303003874,126.11462154160766,132.13222455266387
1999-06-24,112.98853192295016,119.95508772553309,122.44254662213547
1999-06-25,113.03392633057234,120.02873215429146,122.54621302646716
1999-06-28,116.04102594970067,126.3464412073738,132.19404055622203
1999-06-29,117.90880918854714,130.38921492011517,138.52874140187313
1999-06-30,118.77205670622818,132.27359265702242,141.5213947975918
1999-07-01,120.09283020525969,135.1894366253237,146.18995694741773
1999-07-02,121.41410629252938,138.13525140515804,150.9555992150309
1999-07-06,120.52430137069723,136.00655496205852,147.4217895572927
1999-07-07,121.04061311005108,137.14544515279823,149.2622393125807
1999-07-08,122.79350982712938,141.0915062213356,155.6930979585077
1999-07-09,123.74664024047723,143.25480729708067,159.26216137094627
1999-07-12,123.29019493683957,142.11522930098573,157.32559500776165
1999-07-13,122.7425807795224,140.82528327796416,155.17160207652282
1999-07-14,124.98548140834347,145.94512780265535,163.62214636407714
1999-07-15,125.61754282562354,147.39309038394813,166.0447408790016
1999-07-16,127.17958452962854,151.02969292675596,172.17698540229597
1999-07-19,125.3743934078319,146.6557308746647,164.6586696412764
1999-07-20,120.44627885608683,135.09827669181826,145.1819091737556
1999-07-21,122.21921387890254,139.04969501370178,151.54055423859933
1999-07-22,117.99367864113941,129.40814506015417,135.76763784891122
1999-07-23,119.03205468025004,131.6605898765926,139.30190896196174
1999-07-26,115.4876188526057,123.74334354633905,126.70501530842806
1999-07-27,119.37883976275067,132.05791320520797,139.4655817545022
1999-07-28,120.67253415846967,134.89492378717384,143.9493756591065
1999-07-29,117.01628861026016,126.69460591805051,130.8123584201905
1999-07-30,117.42296984790059,127.55035322898962,132.12753851235394
1999-08-02,117.10469447842141,126.78425870843478,130.90664337911858
1999-08-03,115.77873329721122,123.88802175569108,126.41075614684429
1999-08-04,113.98086394665803,120.01657180990222,120.47575355553259
1999-08-05,115.4228781104043,123.03033609722391,125.00463548049565
1999-08-06,114.38382018192968,120.79148938110755,121.58297060734557
1999-08-09,113.1129899528399,118.03814968981443,117.39851820295361
1999-08-10,111.88013944805118,115.44232044898754,113.51696454899817
1999-08-11,115.91371574902318,123.74428049205912,125.75370752415171
1999-08-12,114.49323953999799,120.68733639298263,121.08418403061196
1999-08-13,119.28706891828556,130.77004705097505,136.24860983065366
1999-08-16,119.59626023171465,131.37207483368047,137.15835222768408
1999-08-17,120.85156411473952,134.10364631816608,141.42529865339296
1999-08-18,119.81978050404658,131.78811509152527,137.75173438353758
1999-08-19,117.82356618134995,127.37184039056476,130.81729194282954
1999-08-20,119.69855870157733,131.40122225217326,137.014967019827
1999-08-23,123.35739932400517,139.35873631705905,149.43021233038303
1999-08-24,124.33664458024909,141.5441266152422,152.93372187720286
1999-08-25,127.23643153609731,148.11867888011102,163.57730476227513
1999-08-26,124.98028608250544,142.83640271403948,154.81406710481204
1999-08-27,124.21779736323882,141.06478656715677,151.9213960513214
1999-08-30,122.37172468395418,136.78737253923438,144.97532938089768
